Time (UTC),Open,High,Low,Close,Volume
2007.07.08 21:00:00,1.36329,1.36383,1.36104,1.36263,286142.9
2007.07.09 21:00:00,1.36264,1.37483,1.35955,1.37472,450299.9
2007.07.10 21:00:00,1.37473,1.37842,1.37315,1.37453,450686.3
2007.07.11 21:00:00,1.37455,1.37981,1.3741,1.37895,451785.2
2007.07.12 21:00:00,1.37893,1.38123,1.37635,1.37821,448410.3
2007.07.15 21:00:00,1.37847,1.38036,1.37613,1.37725,553777.3
2007.07.16 21:00:00,1.37761,1.3799,1.37595,1.37815,399396.3
2007.07.17 21:00:00,1.37815,1.3832,1.37575,1.38028,428257.6
2007.07.18 21:00:00,1.3802,1.38294,1.37866,1.38034,416630.1
2007.07.19 21:00:00,1.38038,1.38429,1.37789,1.38261,611853.7
2007.07.22 21:00:00,1.38344,1.38462,1.37918,1.3807,914043.436
2007.07.23 21:00:00,1.38066,1.38529,1.37967,1.38222,768240.138
2007.07.24 21:00:00,1.38232,1.3834,1.3695,1.3722,764973.291
2007.07.25 21:00:00,1.37223,1.37737,1.36894,1.37436,766506.462
2007.07.26 21:00:00,1.37475,1.37553,1.36243,1.3633,763528.958
2007.07.29 21:00:00,1.36236,1.37083,1.36071,1.36964,763613.799
2007.07.30 21:00:00,1.36977,1.37294,1.36768,1.36842,761889.59
2007.07.31 21:00:00,1.36833,1.37109,1.36371,1.3668,764935.64
2007.08.01 21:00:00,1.3669,1.37061,1.36491,1.37025,765100.306
2007.08.02 21:00:00,1.37028,1.38193,1.36822,1.37722,762676.391
2007.08.05 21:00:00,1.3789,1.38411,1.37784,1.37932,724105.333
2007.08.06 21:00:00,1.37934,1.38175,1.37321,1.37363,764196.232
2007.08.07 21:00:00,1.37365,1.38268,1.37203,1.37985,765765.559
2007.08.08 21:00:00,1.37974,1.38178,1.36545,1.36757,764696.52
2007.08.09 21:00:00,1.36796,1.37059,1.36416,1.36917,767648.394
2007.08.12 21:00:00,1.36901,1.37115,1.36012,1.36117,768122.991
2007.08.13 21:00:00,1.36092,1.36264,1.35289,1.35335,765219.173
2007.08.14 21:00:00,1.35324,1.3541,1.34388,1.34415,761546.831
2007.08.15 21:00:00,1.34414,1.34474,1.33621,1.34247,766331.837
2007.08.16 21:00:00,1.34258,1.35476,1.33701,1.34731,767448.484
2007.08.19 21:00:00,1.34774,1.35086,1.3458,1.34741,766993.357
2007.08.20 21:00:00,1.3474,1.35212,1.34548,1.34655,766070.491
2007.08.21 21:00:00,1.34655,1.35513,1.3447,1.35413,764510.335
2007.08.22 21:00:00,1.35435,1.35887,1.35334,1.35655,764007.306
2007.08.23 21:00:00,1.35641,1.36835,1.35501,1.36735,764572.276
2007.08.26 21:00:00,1.36759,1.36868,1.36313,1.3646,805409.206
2007.08.27 21:00:00,1.36462,1.36809,1.35983,1.3604,767581.272
2007.08.28 21:00:00,1.36045,1.36804,1.3559,1.36764,765382.81
2007.08.29 21:00:00,1.36757,1.36825,1.35897,1.36235,731042.276
2007.08.30 21:00:00,1.36251,1.37201,1.36174,1.36275,768225.416
2007.09.02 21:00:00,1.3629,1.36551,1.36027,1.36232,808169.227
2007.09.03 21:00:00,1.36242,1.36272,1.35492,1.3606,769276.676
2007.09.04 21:00:00,1.36055,1.36718,1.35675,1.36462,770691.42
